config_id,fold,case_id,n_estimators,max_depth,min_samples_leaf,max_features,pancreas_dice,kidney_dice,liver_dice,mean_foreground_dice
config_009,5,UKCHLL041,100,,1,sqrt,0.1263141483071683,0.9307871796086606,0.9438085228392294,0.6669699502516862
config_010,1,UKCHLL001,100,,1,all,0.07500248699422535,0.9099944485834952,0.9719697398801335,0.6523222251526181
config_010,1,UKCHLL002,100,,1,all,0.05125941024874778,0.9116002306466636,0.9603307141915612,0.6410634516956576
config_010,1,UKCHLL042,100,,1,all,0.1026539986596014,0.8906902642607281,0.9316993153117558,0.6416811927440285
config_010,1,UKCHLL045,100,,1,all,0.06556558409574165,0.8805416495139086,0.9606974523998271,0.6356015620031591
config_010,2,UKCHLL011,100,,1,all,0.04707706853055101,0.9192466129088723,0.9554931280921598,0.6406056031771944
config_010,2,UKCHLL017,100,,1,all,0.04521345901599988,0.9096193885320536,0.9639015536031799,0.6395781337170777
config_010,2,UKCHLL031,100,,1,all,0.18355690558244425,0.9187404052165608,0.9617764517582708,0.6880245875190919
config_010,2,UKCHLL037,100,,1,all,0.07597331350614064,0.9012382855434411,0.9619859649464081,0.6463991879986634
config_010,3,UKCHLL009,100,,1,all,0.182467876750317,0.9112444897259238,0.9609280317832705,0.6848801327531704
config_010,3,UKCHLL039,100,,1,all,0.11313286325036467,0.9201036231157634,0.9555530142182804,0.6629298335281362
config_010,3,UKCHLL043,100,,1,all,0.23953562740089782,0.9013190913326282,0.9611906763198358,0.7006817983511207
config_010,3,UKCHLL046,100,,1,all,0.07655860011862746,0.8788324533428642,0.9224677998448441,0.6259529511021119
config_010,4,UKCHLL015,100,,1,all,0.07721273996797676,0.9026086037466784,0.9630633541911062,0.6476282326352538
config_010,4,UKCHLL034,100,,1,all,0.13241156000063875,0.9152998566722824,0.9545195041059477,0.6674103069262896
config_010,4,UKCHLL038,100,,1,all,0.09686720033760299,0.8769907977848724,0.9643205550755508,0.6460595177326754
config_010,4,UKCHLL048,100,,1,all,0.046560113625404395,0.8752510324023757,0.9363150515019145,0.6193753991765648
config_010,5,UKCHLL021,100,,1,all,0.11645069586666067,0.9203026217087696,0.9504793431116754,0.6624108868957018
config_010,5,UKCHLL023,100,,1,all,0.09484261951649683,0.8871005338605159,0.3679329837256494,0.4499587123675541
config_010,5,UKCHLL035,100,,1,all,0.077641757816138,0.914142960236631,0.9592998535034123,0.6503615238520605
config_010,5,UKCHLL041,100,,1,all,0.12601889020494814,0.9295552220630479,0.942975485902846,0.6661831993902806
config_011,1,UKCHLL001,100,,50,sqrt,0.0817139963148553,0.9348538950843793,0.9765403228937437,0.6643694047643262
config_011,1,UKCHLL002,100,,50,sqrt,0.058268129383786914,0.9252117689967106,0.968873323835937,0.6507844074054782
config_011,1,UKCHLL042,100,,50,sqrt,0.11644741138557374,0.9064184248693438,0.9258913849258144,0.6495857403935773
config_011,1,UKCHLL045,100,,50,sqrt,0.07369291708937233,0.9028496466929185,0.9712832830841776,0.6492752822888228
config_011,2,UKCHLL011,100,,50,sqrt,0.04174005751700413,0.9343189085446982,0.9663554589098529,0.6474714749905184
config_011,2,UKCHLL017,100,,50,sqrt,0.04051396037528371,0.9240612360660274,0.9751872199002641,0.6465874721138585
config_011,2,UKCHLL031,100,,50,sqrt,0.17202520963715892,0.9164758358818015,0.9711457602862839,0.6865489352684148
config_011,2,UKCHLL037,100,,50,sqrt,0.07009867260276517,0.9121420796036754,0.96641411272238,0.6495516216429401
config_011,3,UKCHLL009,100,,50,sqrt,0.1809980740088503,0.9158275893026364,0.9691020930118559,0.6886425854411143
config_011,3,UKCHLL039,100,,50,sqrt,0.11158583364101249,0.9386051015923726,0.9659753023921577,0.6720554125418476
config_011,3,UKCHLL043,100,,50,sqrt,0.25412250409509357,0.9036301865579187,0.9684284356918902,0.7087270421149675
config_011,3,UKCHLL046,100,,50,sqrt,0.08891146044179547,0.9366526909230501,0.9523000066725517,0.6592880526791324
config_011,4,UKCHLL015,100,,50,sqrt,0.11979077111720225,0.9226654935650842,0.9691764827209869,0.6705442491344243
config_011,4,UKCHLL034,100,,50,sqrt,0.19481699765258423,0.9366674712627358,0.9670173431859427,0.6995006040337542
config_011,4,UKCHLL038,100,,50,sqrt,0.14508364966911266,0.8960341517678166,0.9719450586339009,0.6710209533569435
config_011,4,UKCHLL048,100,,50,sqrt,0.061698100304039445,0.9215328890424388,0.9525512012370734,0.6452607301945172
